CountryName,CountryCode,IndicatorName,Year,Value
East Asia & Pacific (all income levels),EAS,GDP growth (annual %),1961,6.780615176
East Asia & Pacific (developing only),EAP,GDP growth (annual %),1961,-12.60033971
Euro area,EMU,GDP growth (annual %),1961,6.661820532
Europe & Central Asia (all income levels),ECS,GDP growth (annual %),1961,5.351691266
European Union,EUU,GDP growth (annual %),1961,5.43934871
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),1961,0.13443396
High income,HIC,GDP growth (annual %),1961,4.631966344
High income: OECD,OEC,GDP growth (annual %),1961,4.622528715
Latin America & Caribbean (all income levels),LCN,GDP growth (annual %),1961,6.271844908
Latin America & Caribbean (developing only),LAC,GDP growth (annual %),1961,6.989583487
Low & middle income,LMY,GDP growth (annual %),1961,1.604293983
Lower middle income,LMC,GDP growth (annual %),1961,3.922424539
Middle income,MIC,GDP growth (annual %),1961,1.754230021
North America,NAC,GDP growth (annual %),1961,2.36982353
OECD members,OED,GDP growth (annual %),1961,4.596494557
South Asia,SAS,GDP growth (annual %),1961,4.136464497
Sub-Saharan Africa (all income levels),SSF,GDP growth (annual %),1961,1.692823337
Sub-Saharan Africa (developing only),SSA,GDP growth (annual %),1961,1.69935915
Upper middle income,UMC,GDP growth (annual %),1961,0.884230762
World,WLD,GDP growth (annual %),1961,4.28993992
Algeria,DZA,GDP growth (annual %),1961,-13.60544133
Argentina,ARG,GDP growth (annual %),1961,5.42784288
Australia,AUS,GDP growth (annual %),1961,2.47592903
Austria,AUT,GDP growth (annual %),1961,5.537979317
"Bahamas, The",BHS,GDP growth (annual %),1961,10.66709743
Bangladesh,BGD,GDP growth (annual %),1961,6.058160825
Belgium,BEL,GDP growth (annual %),1961,4.978423063
Belize,BLZ,GDP growth (annual %),1961,4.892277219
Benin,BEN,GDP growth (annual %),1961,3.141280462
Bermuda,BMU,GDP growth (annual %),1961,4.68
Bolivia,BOL,GDP growth (annual %),1961,2.079983628
Botswana,BWA,GDP growth (annual %),1961,6.343283719
Brazil,BRA,GDP growth (annual %),1961,10.27591155
Burkina Faso,BFA,GDP growth (annual %),1961,4.043927977
Burundi,BDI,GDP growth (annual %),1961,-13.74613505
Cameroon,CMR,GDP growth (annual %),1961,1.183680812
Canada,CAN,GDP growth (annual %),1961,3.163291684
Central African Republic,CAF,GDP growth (annual %),1961,4.953452755
Chad,TCD,GDP growth (annual %),1961,1.397743671
Chile,CHL,GDP growth (annual %),1961,4.049930947
China,CHN,GDP growth (annual %),1961,-27.29999999
Colombia,COL,GDP growth (annual %),1961,5.265372382
"Congo, Dem. Rep.",ZAR,GDP growth (annual %),1961,-10.85137608
"Congo, Rep.",COG,GDP growth (annual %),1961,8.350726724
Costa Rica,CRI,GDP growth (annual %),1961,-0.955940448
Cote d'Ivoire,CIV,GDP growth (annual %),1961,9.932555156
Denmark,DNK,GDP growth (annual %),1961,6.378832476
Dominican Republic,DOM,GDP growth (annual %),1961,-2.31324875
Ecuador,ECU,GDP growth (annual %),1961,1.543078652
Fiji,FJI,GDP growth (annual %),1961,3.517580341
Finland,FIN,GDP growth (annual %),1961,7.604670479
France,FRA,GDP growth (annual %),1961,5.506272437
Gabon,GAB,GDP growth (annual %),1961,14.76684319
Ghana,GHA,GDP growth (annual %),1961,3.429674012
Greece,GRC,GDP growth (annual %),1961,11.1495374
Guatemala,GTM,GDP growth (annual %),1961,4.298518348
Guyana,GUY,GDP growth (annual %),1961,4.689524309
Honduras,HND,GDP growth (annual %),1961,1.855659321
Iceland,ISL,GDP growth (annual %),1961,-0.084661946
India,IND,GDP growth (annual %),1961,3.722742532
Indonesia,IDN,GDP growth (annual %),1961,6.10491537
"Iran, Islamic Rep.",IRN,GDP growth (annual %),1961,10.39091835
Israel,ISR,GDP growth (annual %),1961,11.20388576
Italy,ITA,GDP growth (annual %),1961,8.207245914
Japan,JPN,GDP growth (annual %),1961,12.04353641
Kenya,KEN,GDP growth (annual %),1961,-7.774634904
"Korea, Rep.",KOR,GDP growth (annual %),1961,4.936341931
Lesotho,LSO,GDP growth (annual %),1961,1.864797762
Liberia,LBR,GDP growth (annual %),1961,2.439985421
Luxembourg,LUX,GDP growth (annual %),1961,3.829983122
Madagascar,MDG,GDP growth (annual %),1961,2.048632751
Malawi,MWI,GDP growth (annual %),1961,7.639597855
Malaysia,MYS,GDP growth (annual %),1961,7.597993945
Mauritania,MRT,GDP growth (annual %),1961,15.52991333
Mexico,MEX,GDP growth (annual %),1961,5
Morocco,MAR,GDP growth (annual %),1961,-2.425234333
Myanmar,MMR,GDP growth (annual %),1961,0.471561079
Nepal,NPL,GDP growth (annual %),1961,1.908265969
Netherlands,NLD,GDP growth (annual %),1961,0.295546673
Nicaragua,NIC,GDP growth (annual %),1961,7.400211918
Niger,NER,GDP growth (annual %),1961,4.546393037
Nigeria,NGA,GDP growth (annual %),1961,0.191795489
Norway,NOR,GDP growth (annual %),1961,6.27333551
Oman,OMN,GDP growth (annual %),1961,1.139666758
Pakistan,PAK,GDP growth (annual %),1961,5.987346419
Panama,PAN,GDP growth (annual %),1961,10.75135777
Papua New Guinea,PNG,GDP growth (annual %),1961,6.18111172
Paraguay,PRY,GDP growth (annual %),1961,6.900285516
Peru,PER,GDP growth (annual %),1961,7.350052545
Philippines,PHL,GDP growth (annual %),1961,5.616579319
Portugal,PRT,GDP growth (annual %),1961,5.534903476
Puerto Rico,PRI,GDP growth (annual %),1961,7.041735944
Rwanda,RWA,GDP growth (annual %),1961,-4.297526058
Senegal,SEN,GDP growth (annual %),1961,2.993448255
Seychelles,SYC,GDP growth (annual %),1961,-4.882276361
Sierra Leone,SLE,GDP growth (annual %),1961,1.80904355
Singapore,SGP,GDP growth (annual %),1961,8.137624686
Somalia,SOM,GDP growth (annual %),1961,-3.261981202
South Africa,ZAF,GDP growth (annual %),1961,3.845403562
Spain,ESP,GDP growth (annual %),1961,11.83867419
St. Vincent and the Grenadines,VCT,GDP growth (annual %),1961,4.527283278
Sudan,SDN,GDP growth (annual %),1961,0.022391334
Sweden,SWE,GDP growth (annual %),1961,5.681537344
Syrian Arab Republic,SYR,GDP growth (annual %),1961,10.8330639
Thailand,THA,GDP growth (annual %),1961,5.362146302
Togo,TGO,GDP growth (annual %),1961,12.16931737
Trinidad and Tobago,TTO,GDP growth (annual %),1961,14.03707086
Turkey,TUR,GDP growth (annual %),1961,1.156069388
United Kingdom,GBR,GDP growth (annual %),1961,2.573569963
